img,lane,starttime,endtime,num,,
0,1,7318,7468,100,,
0,2,7379,7529,101,,
0,0,7440,7590,102,,
0,1,7501,7651,103,,
0,2,7562,7712,104,,
0,0,7623,7773,105,,
0,1,7684,7834,106,2,
0,2,7745,7895,107,,
0,0,7806,7956,108,,
0,1,7852,8007,109,,
0,2,7918,8068,110,,
0,0,7977,8129,111,,
0,1,8040,8190,112,3,
0,2,8155,8305,113,,
0,0,8155,8305,114,,
0,0,8270,8420,115,4,
0,2,8385,8535,116,,
0,0,8523,8673,117,,
0,1,8639,8789,118,,
0,2,8757,8907,119,,
0,0,8871,9021,120,5,
0,1,8985,9135,121,1,
0,2,9099,9249,122,,
0,0,9243,9393,123,,
0,1,9357,9507,124,,
0,2,9471,9621,125,1,
0,0,9532,9682,126,,
0,1,9593,9743,127,,
0,2,9654,9804,128,,
0,0,9715,9865,129,2,
0,1,9776,9926,130,,
0,2,9837,9987,131,,
0,0,9939,10089,132,,
0,1,9939,10089,133,,
0,2,9939,10089,134,3,
0,0,10050,10200,135,1,
0,1,10111,10261,136,,
0,2,10172,10322,137,,
0,0,10233,10383,138,,
0,1,10294,10444,139,,
0,2,10355,10505,140,,
0,0,10416,10566,141,,
0,1,10474,10624,142,,
0,2,10533,10683,143,2,
0,0,10592,10742,144,,
0,1,10651,10801,145,,
0,2,10710,10860,146,,
0,0,10769,10919,147,,
0,1,10828,10978,148,,
0,2,10887,11037,149,,
0,0,10946,11096,150,,
0,1,11005,11155,151,,
0,2,11061,11211,152,,
0,0,11120,11270,153,3,
0,1,11179,11329,154,,
0,2,11234,11384,155,,
0,0,11292,11442,156,,
0,1,11354,11504,157,,
0,2,11413,11563,158,4,
1,0,11500,11650,159,,
1,1,11510,11660,160,,
1,2,11520,11670,161,5,
1,1,11530,11680,162,,
1,0,11540,11690,163,,
1,1,11550,11700,164,,
1,2,11560,11710,165,,
1,1,11570,11720,166,,
1,0,11580,11730,167,,
1,1,11590,11740,168,6,
1,2,11600,11750,169,,
1,1,11610,11760,170,,
1,0,11620,11770,171,,
1,1,11630,11780,172,,
1,2,11640,11790,173,,
1,1,11650,11800,174,,
1,0,11660,11810,175,,
1,1,11670,11820,176,,
1,2,11680,11830,177,7,
1,1,11690,11840,178,,
1,2,11700,11850,179,,
1,0,11710,11860,180,,
1,1,11720,11870,181,,
1,2,11730,11880,182,,
1,1,11740,11890,183,,
1,2,11750,11900,184,,
1,0,11760,11910,185,,
1,1,11770,11920,186,,
1,2,11780,11930,187,,
1,1,11790,11940,188,,
1,2,11800,11950,189,,
1,0,11810,11960,190,,
1,1,11820,11970,191,,
1,0,11830,11980,192,,
0,0,11870,12020,193,,1
0,1,11870,12020,194,,
0,1,11920,12070,195,,2
0,2,11920,12070,196,,
0,0,11980,12130,197,,3
0,2,11980,12130,198,,
0,0,12030,12180,199,,4
0,1,12030,12180,200,,
0,2,12030,12180,201,,
